text,label,label_name
مأتش,0,حجازية
خثلة,3,حساوية
ورور,0,حجازية
اهوه,2,نجديه
شطايا,2,نجديه
يرك,1,جنوبي
أهزعه,3,حساوية
إشبح,2,نجديه
الكوله,1,جنوبي
قمص,3,حساوية
وغدان,2,نجديه
وين هو بوه,2,نجديه
متنحرة,3,حساوية
يعس,1,جنوبي
موب,2,نجديه
مدار,1,جنوبي
انسلق,2,نجديه
حتسي,2,نجديه
قلاص,3,حساوية
يمتعس,1,جنوبي
سعيداء,2,نجديه
حنس,2,نجديه
علثة,2,نجديه
المرزح,1,جنوبي
سريح,2,نجديه
صنقر,0,حجازية
شايب,2,نجديه
قال له ذنبك عجج قال اقتلني ولا تتحجج,0,حجازية
ذيلي,3,حساوية
أجغف,2,نجديه
هلكتنا,3,حساوية
سپع,2,نجديه
رمك,2,نجديه
ازمق,3,حساوية
مسامع,1,جنوبي
غار الحمام,3,حساوية
زقم,2,نجديه
يا جعموص,0,حجازية
تتحيقين,3,حساوية
الناس في الناس والعجوزه في الطلق والنفاس,0,حجازية
باشه,1,جنوبي
معنقز,2,نجديه
دريشه,3,حساوية
قرصه,3,حساوية
يخسِّـب,1,جنوبي
اجودها,3,حساوية
رمة,0,حجازية
أدي,0,حجازية
كنس بيتك ورشُه ما تدري مين يخشوا,0,حجازية
سنون,3,حساوية
فارق,2,نجديه
ذل,2,نجديه
والعون,1,جنوبي
حمس,1,جنوبي
مبوبز,2,نجديه
طحر,2,نجديه
هيج,3,حساوية
نفج,2,نجديه
قره,1,جنوبي
صطل,2,نجديه
خاتم بفصو وكل شي ترصوا,0,حجازية
الي ويش,3,حساوية
تمنظري,3,حساوية
داج,2,نجديه
ملفع,3,حساوية
بيجو,3,حساوية
ريح,2,نجديه
ضوح,1,جنوبي
دنم,1,جنوبي
برنص,3,حساوية
حندرفيني,1,جنوبي
بجلي,2,نجديه
وش لونك,0,حجازية
نشب,2,نجديه
حسيل,1,جنوبي
الكلب,0,حجازية
حمولة,3,حساوية
تسيفك,2,نجديه
ملاية,1,جنوبي
تسني به,2,نجديه
حوقى,1,جنوبي
عكاريش,3,حساوية
اذا تماعط الضيفان فحظ المضيف,1,جنوبي
ترقيع,2,نجديه
ازعق,3,حساوية
علوقه,3,حساوية
الصرمة والقبقاب صاروا أصحاب,0,حجازية
قحنته,2,نجديه
غليه,1,جنوبي
التلام,1,جنوبي
حلمه,1,جنوبي
يحزب,1,جنوبي
هبَّـاد,1,جنوبي
شريعه,3,حساوية
اعسم,3,حساوية
قرعومة,1,جنوبي
ثوري خبيث العمل في بلادي وزين لمن يستعيره,1,جنوبي
بلكة,1,جنوبي
الضبه,1,جنوبي
اللي ماله ام حاله يغم,0,حجازية
ألشين,1,جنوبي
جزو,1,جنوبي
أصحى,0,حجازية
الميانة,2,نجديه
يا رب يا كريم يا مقطع روص الحريم خلي أمي و أم اليتيم,0,حجازية
جعفه,3,حساوية
كب العشا,0,حجازية
زنطه,3,حساوية
برعشيد,1,جنوبي
دفاعة,0,حجازية
شماده,3,حساوية
علامك,2,نجديه
المعقل,0,حجازية
زجيتة,3,حساوية
بالعمالة,3,حساوية
يلعن مهوترك,0,حجازية
عجر,1,جنوبي
قعو,0,حجازية
هبابه,3,حساوية
قرص,3,حساوية
بغدده,0,حجازية
إلي على راصو بطحة يحسس عليها,0,حجازية
وايق,0,حجازية
مبثوث,1,جنوبي
كَـرّوسِة,1,جنوبي
انسفلو,0,حجازية
جصة,3,حساوية
لباداك,3,حساوية
عزي,1,جنوبي
لصف,1,جنوبي
عصلا,2,نجديه
مدلدل,0,حجازية
برصي,2,نجديه
طولع,2,نجديه
حكره,3,حساوية
مشقوق,3,حساوية
يالللي,0,حجازية
عنت علي,3,حساوية
استلتوك,0,حجازية
عوافي,0,حجازية
ياناسوووووو,0,حجازية
شندوره,2,نجديه
صوك,0,حجازية
مو كل مدردم بتنجان,0,حجازية
قفطة,2,نجديه
لا تسند للبعير ولا تنحي للحنش,0,حجازية
شمعل,2,نجديه
قدهو,1,جنوبي
عاين,2,نجديه
ماكو,3,حساوية
قط,2,نجديه
سرويس,2,نجديه
فقير اتجوز فقيرة خلفوا وجع القلب,0,حجازية
سمحت,2,نجديه
البازان,0,حجازية
معجوره,1,جنوبي
كان بمسمع منك,0,حجازية
برك وقام وانتفض الكلام,1,جنوبي
ام غديه,1,جنوبي
ماتعدينا,3,حساوية
الوشق,1,جنوبي
هثولي,2,نجديه
إن كاني صقر,1,جنوبي
رزيل,3,حساوية
أكفتو,0,حجازية
إنطم,2,نجديه
أوا,1,جنوبي
لين,3,حساوية
طعس,2,نجديه
تـبَّانِة,1,جنوبي
محاري,2,نجديه
وشو له,3,حساوية
أجطل,3,حساوية
اما,2,نجديه
الحب عياقة توب بلا ياقة,0,حجازية
كب عنك امكذب,1,جنوبي
لقيتها,3,حساوية
غرى داج,0,حجازية
صنان,2,نجديه
متلبد,3,حساوية
الدغابيس,1,جنوبي
مالت,2,نجديه
محبوك,0,حجازية
ورع صنهات,2,نجديه
مصلوله,1,جنوبي
بعثران,1,جنوبي
مسحات,3,حساوية
يتراره,3,حساوية
مدك,1,جنوبي
كشة,3,حساوية
أبو زبره,2,نجديه
السفان,1,جنوبي
مطعفر,0,حجازية
شرشحة,0,حجازية
مرره,0,حجازية
ايكه,0,حجازية
هفأة,1,جنوبي
بروحي,3,حساوية
فاهمني,0,حجازية
يحزم,1,جنوبي
اطبق,3,حساوية
زلطة,1,جنوبي
الكبرة,3,حساوية
انفقش,0,حجازية
أتمغط,3,حساوية
نقب,3,حساوية
خرنثلوو,0,حجازية
حميسة,2,نجديه
يرجد,1,جنوبي
كم هوبه,3,حساوية
أدب ولدك وان زعلت امه,0,حجازية
غمس,0,حجازية
لقحة,1,جنوبي
زماطات,3,حساوية
ادرام,3,حساوية
اشقح,3,حساوية
قرمبع,0,حجازية
يامال,1,جنوبي
خرتيت,0,حجازية
فقش,0,حجازية
كيتلي,3,حساوية
أها عاد,3,حساوية
يخثرد,0,حجازية
بكاش,0,حجازية
يدتي,3,حساوية
مبقعة,2,نجديه
عاينبه,1,جنوبي
بدوي طاحلو في تمرة,0,حجازية
مبغوث,2,نجديه
احلت,2,نجديه
ذنب,2,نجديه
تكروني,0,حجازية
عديلة,1,جنوبي
تخطمل,1,جنوبي
دوله,1,جنوبي
زعبوطه,0,حجازية
الحاصل,0,حجازية
ايششكلوا,0,حجازية
سحاره,1,جنوبي
أتمغط,3,حساوية
هطفة,3,حساوية
لفت,2,نجديه
صيب,1,جنوبي
خوش شي,3,حساوية
احتريك,2,نجديه
فلحسة,2,نجديه
صنادح,2,نجديه
صبية,1,جنوبي
يهذرى,1,جنوبي
سدرة,1,جنوبي
امبطح,3,حساوية
معفن,0,حجازية
بلحطي,0,حجازية
براحه,2,نجديه
دهدره,2,نجديه
جذاب,3,حساوية
ديكه,1,جنوبي
معرة,3,حساوية
يسخي,1,جنوبي
قذلة,2,نجديه
اصحك,0,حجازية
تدودهت,3,حساوية
جازليه,3,حساوية
الحجر من الارض والدم من راسك,0,حجازية
زهبه,3,حساوية
دودهنيه,3,حساوية
تيبل,3,حساوية
دراز,3,حساوية
صتيمه,2,نجديه
منقل,1,جنوبي
تخذرتز,2,نجديه
وينتس بوه,2,نجديه
بايخ,2,نجديه
جئم,1,جنوبي
بواق,3,حساوية
نعال,3,حساوية
كيت,3,حساوية
مدريهة,0,حجازية
ازعقله,3,حساوية
خوب,3,حساوية
حبل الكذب قصير,2,نجديه
اقعد شذا,3,حساوية
ستي و سيدي,0,حجازية
شبشب,0,حجازية
ضامر,1,جنوبي
قد,2,نجديه
كمش,1,جنوبي
يَعثـَر,1,جنوبي
معلامه,1,جنوبي
اص,2,نجديه
كلال,1,جنوبي
دجه,2,نجديه
مزرقن,0,حجازية
حويجة,3,حساوية
عرقوب,2,نجديه
حبحر,2,نجديه
باربي,0,حجازية
إفـِّة,1,جنوبي
أحليه,1,جنوبي
مقيط,2,نجديه
ميرة,3,حساوية
متلخبط,3,حساوية
بعد شبدي,3,حساوية
كي,0,حجازية
ياخه,1,جنوبي
شقردي,2,نجديه
هاض,2,نجديه
بشكير,0,حجازية
رفصة,1,جنوبي
جوده,3,حساوية
سرامها,2,نجديه
أجادي,0,حجازية
الجره,1,جنوبي
خطافة,1,جنوبي
ستي رئيتها ما نقص عليا الا جدران بيتها,0,حجازية
دوح,1,جنوبي
شنوح,2,نجديه
اسبط,2,نجديه
زهبة,3,حساوية
تيه,1,جنوبي
حصحص,3,حساوية
علام,2,نجديه
بشت,2,نجديه
سبييكه,2,نجديه
سطح البورق,3,حساوية
هممز,2,نجديه
طحزلة,2,نجديه
بوجي,0,حجازية
فره,2,نجديه
شمطوط,3,حساوية
كيف حالش,2,نجديه
وزاب,1,جنوبي
صخل,0,حجازية
سردح,0,حجازية
غميمه,3,حساوية
طرف,2,نجديه
مفتوق,3,حساوية
وحر,1,جنوبي
توقع,2,نجديه
حجي,3,حساوية
مجلبخ,2,نجديه
البدا,1,جنوبي
نكبة,2,نجديه
كمبودي,0,حجازية
زايط,0,حجازية
بار,0,حجازية
غشنة,0,حجازية
شماده,3,حساوية
ازهميلي,0,حجازية
سلامتك والهيل والقرنفل قمامتك,0,حجازية
وايد,3,حساوية
توق غادي,0,حجازية
زحلط,2,نجديه
بارد صارد,0,حجازية
بي,1,جنوبي
جواز,0,حجازية
دهريز,3,حساوية
عروة,2,نجديه
اتوطى في بطنك,2,نجديه
الغزية,0,حجازية
غربة,3,حساوية
واصلة,2,نجديه
اللي يشوفني بعين اشوفوا باتنين,0,حجازية
عتلِة,1,جنوبي
سيلقة,3,حساوية
هوال بك,0,حجازية
بغر,1,جنوبي
تشابها,0,حجازية
غديت مرق,0,حجازية
رضخ,2,نجديه
أهقا,3,حساوية
الحبله,1,جنوبي
دخلوا في نحرك,0,حجازية
طراق,3,حساوية
معصعص,0,حجازية
من طلابه,3,حساوية
في وجهي مرايه ومن قفايا حربايا,2,نجديه
طقطوقي,0,حجازية
هدولا,0,حجازية
تيس,2,نجديه
انكغ,1,جنوبي
سنايدي,2,نجديه
كندرة,0,حجازية
حق,0,حجازية
شامر,3,حساوية
سعبول,2,نجديه
ميدي,2,نجديه
معية,3,حساوية
يتلي,1,جنوبي
السعاب,1,جنوبي
لغابيب,2,نجديه
صامل,2,نجديه
متسلط,3,حساوية
ريّض,3,حساوية
قبة الحامية,1,جنوبي
السلعدى,1,جنوبي
مصطاح,1,جنوبي
كبرت يا بس و صرت تخربش,0,حجازية
فصل,2,نجديه
امحزق,3,حساوية
فكك,0,حجازية
مخمود,0,حجازية
وزانك,2,نجديه
اباريه,3,حساوية
منظرة,3,حساوية
جابلي أعمى يونسني بحلق بعينو فجعني,0,حجازية
زعابيلو,0,حجازية
حبرش,2,نجديه
خنه,3,حساوية
هقوه,2,نجديه
عثري,1,جنوبي
دحينا,0,حجازية
فيش,0,حجازية
ضيعه,1,جنوبي
خاشوقه,3,حساوية
يفدغ,1,جنوبي
اسلم,2,نجديه
خلعتني,0,حجازية
متشدق,2,نجديه
الهرجة,0,حجازية
كرته,0,حجازية
أها عاد,3,حساوية
لعمطة,0,حجازية
قطاعه,2,نجديه
ظلافيع,2,نجديه
يطمش,3,حساوية
شيفه,2,نجديه
الحمار,1,جنوبي
جرجير,1,جنوبي
المسقف,1,جنوبي
جحلوطي,2,نجديه
قطفنجي,2,نجديه
سبيكه,2,نجديه
غطيطة,1,جنوبي
زن,0,حجازية
اشوه,3,حساوية
كل حبه مسوسة لها كيال اعور,0,حجازية
صنيفره,0,حجازية
إيش اللي,0,حجازية
نقيل,0,حجازية
حجار,2,نجديه
مدفوف,3,حساوية
غلاص,3,حساوية
دحلسة,0,حجازية
سويقه,1,جنوبي
سطح السمادة,3,حساوية
التلوت,0,حجازية
حولي,2,نجديه
مغوبش,2,نجديه
وريني,3,حساوية
دوشق,3,حساوية
زرفان,0,حجازية
هك عليه,2,نجديه
يتحفظ,3,حساوية
ريدو,3,حساوية
افروكيه,0,حجازية
صابه,1,جنوبي
يحفا,1,جنوبي
إغ,1,جنوبي
داخل لبيت العروسه نادر من بيت العريس,0,حجازية
سعلوه,3,حساوية
لبس له جلد النمره,0,حجازية
الهن,0,حجازية
جمش,1,جنوبي
على طقران,2,نجديه
باقه,3,حساوية
استاديت,1,جنوبي
ماليبه,1,جنوبي
بيت الما,0,حجازية
يزرف,3,حساوية
الزبدة,2,نجديه
تبن,0,حجازية
ياعشر,1,جنوبي
اتملت العدوة وقلت المروه,0,حجازية
صبعبلي,3,حساوية
شسويت,3,حساوية
هجولتوا,0,حجازية
هايت,3,حساوية
صطح,0,حجازية
لكع,0,حجازية
متسس,2,نجديه
بسط,2,نجديه
تحنجة,3,حساوية
القم,2,نجديه
الحوش,3,حساوية
اخناعات,3,حساوية
اتمرمط,0,حجازية
ايذاني,0,حجازية
على اسرك,0,حجازية
شسمه ذيه,3,حساوية
يلمخ,3,حساوية
مشعانيز,0,حجازية
سريب,3,حساوية
قوه,2,نجديه
مسبوه,2,نجديه
بقعاء,1,جنوبي
سرب,1,جنوبي
الله يجقفك,3,حساوية
سيبك منو,0,حجازية
يتشابق,3,حساوية
تحثل,0,حجازية
لابد,2,نجديه
فلكه,0,حجازية
امزبن,3,حساوية
توماتيك,0,حجازية
حمزة,0,حجازية
كبرتة,0,حجازية
ويشكنه,1,جنوبي
مخلده,1,جنوبي
ريوق,3,حساوية
مزحلة,1,جنوبي
فيذا,2,نجديه
إما حبا ولابرك ولا سعا وكسرك,1,جنوبي
خظيري,0,حجازية
أرفعه قب,0,حجازية
اطيب,2,نجديه
مزويقة,0,حجازية
اشبمك يواد,0,حجازية
مزحلي جدلي,0,حجازية
بدروم,0,حجازية
الله يتزديلك بشويفك,2,نجديه
وقحه,2,نجديه
حندس,3,حساوية
درك,0,حجازية
قطبه,1,جنوبي
حلزه,2,نجديه
لوقطة,0,حجازية
زنبيل,0,حجازية
صنجة,3,حساوية
اطرق,2,نجديه
سلع,0,حجازية
جاعف,3,حساوية
تيبل,3,حساوية
ملزلز,0,حجازية
تحجى,3,حساوية
برتكانة,0,حجازية
خنفشاري,0,حجازية
قمعني,3,حساوية
شَربتْ,3,حساوية
مهرهر,0,حجازية
مبحلق,0,حجازية
مرحول,1,جنوبي
نومة وتمغيطة احسن من فرح طيطة,0,حجازية
درجان,0,حجازية
فقشة,1,جنوبي
حوبة زوبة,2,نجديه
فاهر,2,نجديه
طشت,3,حساوية
وتطقوا,0,حجازية
تعجب,0,حجازية
مخفه,2,نجديه
سجم,3,حساوية
أخوانك من أمك زي الدهب في كمك و أخوانك من أبوك زي القوم لما ينهبوك,0,حجازية
يا كبدة,0,حجازية
حزام,1,جنوبي
لبه,3,حساوية
صك,3,حساوية
حندر,1,جنوبي
مقراض,2,نجديه
منقعر,1,جنوبي
أبروق,0,حجازية
مرستان,0,حجازية
زط,3,حساوية
بطران,2,نجديه
يابا,0,حجازية
استح,2,نجديه
ولد,2,نجديه
الدري,3,حساوية
حجيه,3,حساوية
ريض,2,نجديه
دقه,0,حجازية
مكارنة,0,حجازية
صمايل,3,حساوية
وييل,0,حجازية
امتعطه,1,جنوبي
وذاذيه,1,جنوبي
فكوك,2,نجديه
العدنة,1,جنوبي
مب,3,حساوية
أرضية,1,جنوبي
حثالة,2,نجديه
فرتي,0,حجازية
زرقه,2,نجديه
غميظة,3,حساوية
قصعة,2,نجديه
بنجرة,1,جنوبي
مفرشة,0,حجازية
جكس,0,حجازية
نحاه,1,جنوبي
كحيلان,2,نجديه
دس,0,حجازية
حزايه,3,حساوية
خصفه,1,جنوبي
إزم قردك لا ياتيك أقرد منه,1,جنوبي
الفقه,2,نجديه
دو,1,جنوبي
صرمه,0,حجازية
سلحح,0,حجازية
يتكرفس,0,حجازية
محفوفة,2,نجديه
خرمس,2,نجديه
شمنجاحبش,0,حجازية
الشرع,1,جنوبي
قرموع,0,حجازية
امعصى,2,نجديه
يتَرشق,1,جنوبي
ميقرفون,3,حساوية
نصيافات,3,حساوية
نعارة,1,جنوبي
همزي,3,حساوية
عير,2,نجديه
عزومة,0,حجازية
عجبة,3,حساوية
أست,0,حجازية
ستناية,1,جنوبي
اعطيك كف يطيرك,2,نجديه
رَمعون,1,جنوبي
الخوط,1,جنوبي
أليم,2,نجديه
ودج,3,حساوية
ماي,3,حساوية
قفيه,1,جنوبي
صرنوخ,3,حساوية
سطح العلا,3,حساوية
اختلع,1,جنوبي
طرش البحر,2,نجديه
حربوقة,0,حجازية
انكصم,2,نجديه
كديش,1,جنوبي
سقها,2,نجديه
شاطح,2,نجديه
فقّـوس,1,جنوبي
طقطقة,2,نجديه
صوبي,1,جنوبي
أبكابك,2,نجديه
جوتي,3,حساوية
ياخوعتى,1,جنوبي
الجحش,3,حساوية
جخاخ,0,حجازية
هياهي,2,نجديه
منتوشه,2,نجديه
فيقت,2,نجديه
مطشود,2,نجديه
الغراز,1,جنوبي
مزود,1,جنوبي
شنوف,3,حساوية
عبيطة,3,حساوية
مرره طعم,0,حجازية
جلبة,0,حجازية
زهقان,3,حساوية
يطـيِّر الفضا,1,جنوبي
مصنخ,2,نجديه
غشي علية,1,جنوبي
سلندر,3,حساوية
خرمس,3,حساوية
ورع,2,نجديه
رِشء,1,جنوبي
فم باصم ما يدخله ذباب,1,جنوبي
هرج,0,حجازية
بربسة,2,نجديه
حسبالك,3,حساوية
زغون,2,نجديه
عرص,2,نجديه
شريمه,1,جنوبي
طق,2,نجديه
اشبك البلا فشكلك,0,حجازية
عنصناص,2,نجديه
رذاذ,2,نجديه
دبيه,1,جنوبي
ذيه,1,جنوبي
اهوو,0,حجازية
عبنه,0,حجازية
وجود,2,نجديه
يشمخ,3,حساوية
صمنديقه,3,حساوية
مطجع,3,حساوية
نشوف,2,نجديه
سهاد,3,حساوية
يحسدوا الفقير على موتت الجمعه,0,حجازية
ياهوه,0,حجازية
الورور,0,حجازية
صميل,2,نجديه
مشتط,2,نجديه
مد رجولك على قد لحافك,0,حجازية
ازهله,0,حجازية
سحله,2,نجديه
دوارق,0,حجازية
حزه,2,نجديه
الي مايطول الرطب يابس عنه يقول,2,نجديه
أطخم,2,نجديه
شخاخين,0,حجازية
إسا,1,جنوبي
قوام,0,حجازية
مصيبح,3,حساوية
العياي,1,جنوبي
عى على,2,نجديه
مرستك,0,حجازية
صشم,3,حساوية
رشاش,3,حساوية
يهدر,3,حساوية
شفيك,3,حساوية
كمخه,2,نجديه
كدمة,0,حجازية
ايتهنوص,2,نجديه
خايس,3,حساوية
الاعور في ديرة العميان فاكهة,1,جنوبي
مرحبمبكم,0,حجازية
خنيث,2,نجديه
مسّاس,1,جنوبي
ديرم,2,نجديه
اصفعه,3,حساوية
بخه,0,حجازية
يادين,0,حجازية
افدغ,0,حجازية
فاكر الشغلة نجارةيضرب بالقدوم ويمسح بالفارة,0,حجازية
إرتكز,0,حجازية
كنبل,3,حساوية
لين تحسب سحر,0,حجازية
ركس,1,جنوبي
سهاد,3,حساوية
مصرقع,2,نجديه
ألمَك,3,حساوية
بياتي,1,جنوبي
ابيهات,3,حساوية
توال,3,حساوية
يقرص,1,جنوبي
 فر عني,1,جنوبي
زل,2,نجديه
ريش,2,نجديه
الحماط,1,جنوبي
لـهمود,1,جنوبي
ذا الغدي,1,جنوبي
بايكة,1,جنوبي
ياطخو يااكسر مخو,0,حجازية
التليك,0,حجازية
تنكة,2,نجديه
جغمه,2,نجديه
نخرور,2,نجديه
شحّاطة,1,جنوبي
سوَطر,1,جنوبي
هزيتيني,3,حساوية
انفهق,2,نجديه
امساعة,3,حساوية
مهبل,2,نجديه
البداه,1,جنوبي
اتارنوو,0,حجازية
مصواط,1,جنوبي
بسة,0,حجازية
هذاانا,1,جنوبي
بليلة,1,جنوبي
بلاك,2,نجديه
عبد,0,حجازية
صدز,2,نجديه
ذعرتني,2,نجديه
يبوش,0,حجازية
يجنن,0,حجازية
هماه,2,نجديه
دش,3,حساوية
روح يمي أو روح جاي,2,نجديه
طرار,3,حساوية
أذيه,3,حساوية
شردوحة,0,حجازية
متمبة,3,حساوية
امممممم اوكك,0,حجازية
توي,0,حجازية
درويهه,1,جنوبي
غدفة,2,نجديه
امطخه,2,نجديه
إفحز,2,نجديه
شباصة,2,نجديه
دبج,0,حجازية
الخراطة,0,حجازية
ما معنى تحتك,0,حجازية
صنان,3,حساوية
الفاشه,1,جنوبي
يقدمي,0,حجازية
خايب,3,حساوية
تمص,0,حجازية
مصفوق,1,جنوبي
قذرف,2,نجديه
يهبد,1,جنوبي
زباله,3,حساوية
لم,2,نجديه
لو كان فيه خير ما رماه الطير,2,نجديه
ارت,1,جنوبي
طير يطرك,3,حساوية
طحبوش,1,جنوبي
زاري علي,2,نجديه
عنم,1,جنوبي
متفرفث,2,نجديه
غبدز,2,نجديه
زحفه,1,جنوبي
اليرو,1,جنوبي
فقع,0,حجازية
فلح,3,حساوية
ملفد,2,نجديه
يمك,3,حساوية
كبت,3,حساوية
جايدة,3,حساوية
السبيل,1,جنوبي
بيريأ,1,جنوبي
القطو يحب خناقه,2,نجديه
فقعنة,0,حجازية
مسنتر,2,نجديه
طراق وكف,3,حساوية
طتـلة,1,جنوبي
المزبا,1,جنوبي
كدش,0,حجازية
فوق القانون,0,حجازية
بزوع,2,نجديه
مهايطي,2,نجديه
قرقش,3,حساوية
يخر,3,حساوية
طاعوش,2,نجديه
معقم,1,جنوبي
حط,3,حساوية
ياريتني بيضه وعرجه اصلوا البياض فُرجه,0,حجازية
أخذني موتك,0,حجازية
دكه,0,حجازية
هذره,3,حساوية
أخمد,2,نجديه
منفس,2,نجديه
صكه,3,حساوية
علمي علمك,0,حجازية
كنك,1,جنوبي
شلقه,0,حجازية
ابلش,2,نجديه
افلح,1,جنوبي
زيرووووووو,0,حجازية
نباله,3,حساوية
يوغظ,1,جنوبي
لا تطعبز,3,حساوية
شاذي,3,حساوية
تنكس,2,نجديه
محسن,0,حجازية
حيوان,0,حجازية
متاقة,0,حجازية
زاقوط,1,جنوبي
المعلف,1,جنوبي
ديس,0,حجازية
مشق,3,حساوية
أبرق,2,نجديه
عبر,2,نجديه
عديسه,2,نجديه
اثره,2,نجديه
ماشي كماه,2,نجديه
خشه,2,نجديه
عربية كرو,0,حجازية
لولا الغيره ماكبرت الصغيره ,2,نجديه
احبش,2,نجديه
وش,2,نجديه
مصبع,2,نجديه
جغيط,0,حجازية
قشابير,1,جنوبي
وش نوحك,2,نجديه
متلل,3,حساوية
بيتلما,0,حجازية
تشميقة,0,حجازية
بوتيته,3,حساوية
داعوس,3,حساوية
مدري,0,حجازية
سيب,0,حجازية
ألحين,3,حساوية
ثمنية,1,جنوبي
معلف,0,حجازية
برِنجي,1,جنوبي
دريشة,2,نجديه
يمتشع,3,حساوية
هست,3,حساوية
تسلك لي,2,نجديه
جات تكحلها عمتها,0,حجازية
لا تجعص علينا,0,حجازية
متكبر على,2,نجديه
السويقه,1,جنوبي
فشخ,0,حجازية
تريللا,0,حجازية
فرنينة,1,جنوبي
رقى,2,نجديه
لعابه,0,حجازية
سحابيه,1,جنوبي
مرقد,3,حساوية
يابو زغيط,3,حساوية
حطاطه,1,جنوبي
أرمية,1,جنوبي
واحياه,1,جنوبي
دوك,2,نجديه
تريك,3,حساوية
عبيله,1,جنوبي
زوليه,3,حساوية
تعقب,2,نجديه
جود,2,نجديه
كِشاية,1,جنوبي
متشلبك,3,حساوية
دريخ,2,نجديه
توحي,2,نجديه
الأثافي,0,حجازية
شكشاكه,0,حجازية
ينقز,3,حساوية
عترمه,2,نجديه
دمبوشي,0,حجازية
مدعجة,3,حساوية
عسو,3,حساوية
هذرتك,2,نجديه
معبث,2,نجديه
أمهص,2,نجديه
ود,1,جنوبي
مقلقل,0,حجازية
بواري,0,حجازية
ذافي,2,نجديه
أستقيف,0,حجازية
النمنم,0,حجازية
هيله,1,جنوبي
الحي يحييك والميت يزيدك غبن,2,نجديه
كفت الكفت,0,حجازية
مزبزب,0,حجازية
فج,3,حساوية
حجان,2,نجديه
جقاره,3,حساوية
غمتة,2,نجديه
احذفه,1,جنوبي
أصَل,1,جنوبي
اخصك,0,حجازية
رايق,0,حجازية
منسم,2,نجديه
كمبل,3,حساوية
خرجه,3,حساوية
برز,1,جنوبي
الخوخة,3,حساوية
إشكلو,0,حجازية
يثبي,1,جنوبي
هشير,1,جنوبي
سيبك,0,حجازية
إقلب وجهك,0,حجازية
جاب العيد,0,حجازية
كبة حيلة,1,جنوبي
سباط,3,حساوية
هبد,1,جنوبي
متغووي,3,حساوية
تسيف,2,نجديه
مزنوق,2,نجديه
بس يا حمزة,0,حجازية
تخفيفة,1,جنوبي
شّدوه,3,حساوية
ملفع,3,حساوية
ملفع,2,نجديه
تكاية,1,جنوبي
امشطوه,0,حجازية
اللوذة,2,نجديه
حليل,2,نجديه
يلبد,1,جنوبي
تتهنقصين,2,نجديه
كماج,3,حساوية
يشقل,1,جنوبي
مقرط,1,جنوبي
درو,2,نجديه
يتمشمش,1,جنوبي
